sigma,kappa,reserves,trade_fraction,slippage,p_T<0.99,p_T<0.95,p_T<0.9
0.01,1.0,10000000,0.01,-0.009900990099012796,0.062,0.0,0.0
0.01,1.0,10000000,0.05,-0.04761904761904856,0.062,0.0,0.0
0.01,1.0,10000000,0.1,-0.09090909090909172,0.062,0.0,0.0
0.01,1.0,10000000,0.2,-0.16666666666666652,0.062,0.0,0.0
0.01,1.0,2000000,0.01,-0.009900990099005913,0.062,0.0,0.0
0.01,1.0,2000000,0.05,-0.04761904761904856,0.062,0.0,0.0
0.01,1.0,2000000,0.1,-0.0909090909090906,0.062,0.0,0.0
0.01,1.0,2000000,0.2,-0.16666666666666685,0.062,0.0,0.0
0.01,1.0,500000,0.01,-0.009900990099005913,0.062,0.0,0.0
0.01,1.0,500000,0.05,-0.04761904761904856,0.062,0.0,0.0
0.01,1.0,500000,0.1,-0.0909090909090906,0.062,0.0,0.0
0.01,1.0,500000,0.2,-0.16666666666666685,0.062,0.0,0.0
0.01,5.0,10000000,0.01,-0.009900990099012796,0.0008,0.0,0.0
0.01,5.0,10000000,0.05,-0.04761904761904856,0.0008,0.0,0.0
0.01,5.0,10000000,0.1,-0.09090909090909172,0.0008,0.0,0.0
0.01,5.0,10000000,0.2,-0.16666666666666652,0.0008,0.0,0.0
0.01,5.0,2000000,0.01,-0.009900990099005913,0.0008,0.0,0.0
0.01,5.0,2000000,0.05,-0.04761904761904856,0.0008,0.0,0.0
0.01,5.0,2000000,0.1,-0.0909090909090906,0.0008,0.0,0.0
0.01,5.0,2000000,0.2,-0.16666666666666685,0.0008,0.0,0.0
0.01,5.0,500000,0.01,-0.009900990099005913,0.0008,0.0,0.0
0.01,5.0,500000,0.05,-0.04761904761904856,0.0008,0.0,0.0
0.01,5.0,500000,0.1,-0.0909090909090906,0.0008,0.0,0.0
0.01,5.0,500000,0.2,-0.16666666666666685,0.0008,0.0,0.0
0.01,10.0,10000000,0.01,-0.009900990099012796,0.0,0.0,0.0
0.01,10.0,10000000,0.05,-0.04761904761904856,0.0,0.0,0.0
0.01,10.0,10000000,0.1,-0.09090909090909172,0.0,0.0,0.0
0.01,10.0,10000000,0.2,-0.16666666666666652,0.0,0.0,0.0
0.01,10.0,2000000,0.01,-0.009900990099005913,0.0,0.0,0.0
0.01,10.0,2000000,0.05,-0.04761904761904856,0.0,0.0,0.0
0.01,10.0,2000000,0.1,-0.0909090909090906,0.0,0.0,0.0
0.01,10.0,2000000,0.2,-0.16666666666666685,0.0,0.0,0.0
0.01,10.0,500000,0.01,-0.009900990099005913,0.0,0.0,0.0
0.01,10.0,500000,0.05,-0.04761904761904856,0.0,0.0,0.0
0.01,10.0,500000,0.1,-0.0909090909090906,0.0,0.0,0.0
0.01,10.0,500000,0.2,-0.16666666666666685,0.0,0.0,0.0
0.02,1.0,10000000,0.01,-0.009900990099012796,0.2246,0.0,0.0
0.02,1.0,10000000,0.05,-0.04761904761904856,0.2246,0.0,0.0
0.02,1.0,10000000,0.1,-0.09090909090909172,0.2246,0.0,0.0
0.02,1.0,10000000,0.2,-0.16666666666666652,0.2246,0.0,0.0
0.02,1.0,2000000,0.01,-0.009900990099005913,0.2246,0.0,0.0
0.02,1.0,2000000,0.05,-0.04761904761904856,0.2246,0.0,0.0
0.02,1.0,2000000,0.1,-0.0909090909090906,0.2246,0.0,0.0
0.02,1.0,2000000,0.2,-0.16666666666666685,0.2246,0.0,0.0
0.02,1.0,500000,0.01,-0.009900990099005913,0.2246,0.0,0.0
0.02,1.0,500000,0.05,-0.04761904761904856,0.2246,0.0,0.0
0.02,1.0,500000,0.1,-0.0909090909090906,0.2246,0.0,0.0
0.02,1.0,500000,0.2,-0.16666666666666685,0.2246,0.0,0.0
0.02,5.0,10000000,0.01,-0.009900990099012796,0.0552,0.0,0.0
0.02,5.0,10000000,0.05,-0.04761904761904856,0.0552,0.0,0.0
0.02,5.0,10000000,0.1,-0.09090909090909172,0.0552,0.0,0.0
0.02,5.0,10000000,0.2,-0.16666666666666652,0.0552,0.0,0.0
0.02,5.0,2000000,0.01,-0.009900990099005913,0.0552,0.0,0.0
0.02,5.0,2000000,0.05,-0.04761904761904856,0.0552,0.0,0.0
0.02,5.0,2000000,0.1,-0.0909090909090906,0.0552,0.0,0.0
0.02,5.0,2000000,0.2,-0.16666666666666685,0.0552,0.0,0.0
0.02,5.0,500000,0.01,-0.009900990099005913,0.0552,0.0,0.0
0.02,5.0,500000,0.05,-0.04761904761904856,0.0552,0.0,0.0
0.02,5.0,500000,0.1,-0.0909090909090906,0.0552,0.0,0.0
0.02,5.0,500000,0.2,-0.16666666666666685,0.0552,0.0,0.0
0.02,10.0,10000000,0.01,-0.009900990099012796,0.0128,0.0,0.0
0.02,10.0,10000000,0.05,-0.04761904761904856,0.0128,0.0,0.0
0.02,10.0,10000000,0.1,-0.09090909090909172,0.0128,0.0,0.0
0.02,10.0,10000000,0.2,-0.16666666666666652,0.0128,0.0,0.0
0.02,10.0,2000000,0.01,-0.009900990099005913,0.0128,0.0,0.0
0.02,10.0,2000000,0.05,-0.04761904761904856,0.0128,0.0,0.0
0.02,10.0,2000000,0.1,-0.0909090909090906,0.0128,0.0,0.0
0.02,10.0,2000000,0.2,-0.16666666666666685,0.0128,0.0,0.0
0.02,10.0,500000,0.01,-0.009900990099005913,0.0128,0.0,0.0
0.02,10.0,500000,0.05,-0.04761904761904856,0.0128,0.0,0.0
0.02,10.0,500000,0.1,-0.0909090909090906,0.0128,0.0,0.0
0.02,10.0,500000,0.2,-0.16666666666666685,0.0128,0.0,0.0
0.03,1.0,10000000,0.01,-0.009900990099012796,0.305,0.0032,0.0
0.03,1.0,10000000,0.05,-0.04761904761904856,0.305,0.0032,0.0
0.03,1.0,10000000,0.1,-0.09090909090909172,0.305,0.0032,0.0
0.03,1.0,10000000,0.2,-0.16666666666666652,0.305,0.0032,0.0
0.03,1.0,2000000,0.01,-0.009900990099005913,0.305,0.0032,0.0
0.03,1.0,2000000,0.05,-0.04761904761904856,0.305,0.0032,0.0
0.03,1.0,2000000,0.1,-0.0909090909090906,0.305,0.0032,0.0
0.03,1.0,2000000,0.2,-0.16666666666666685,0.305,0.0032,0.0
0.03,1.0,500000,0.01,-0.009900990099005913,0.305,0.0032,0.0
0.03,1.0,500000,0.05,-0.04761904761904856,0.305,0.0032,0.0
0.03,1.0,500000,0.1,-0.0909090909090906,0.305,0.0032,0.0
0.03,1.0,500000,0.2,-0.16666666666666685,0.305,0.0032,0.0
0.03,5.0,10000000,0.01,-0.009900990099012796,0.1414,0.0,0.0
0.03,5.0,10000000,0.05,-0.04761904761904856,0.1414,0.0,0.0
0.03,5.0,10000000,0.1,-0.09090909090909172,0.1414,0.0,0.0
0.03,5.0,10000000,0.2,-0.16666666666666652,0.1414,0.0,0.0
0.03,5.0,2000000,0.01,-0.009900990099005913,0.1414,0.0,0.0
0.03,5.0,2000000,0.05,-0.04761904761904856,0.1414,0.0,0.0
0.03,5.0,2000000,0.1,-0.0909090909090906,0.1414,0.0,0.0
0.03,5.0,2000000,0.2,-0.16666666666666685,0.1414,0.0,0.0
0.03,5.0,500000,0.01,-0.009900990099005913,0.1414,0.0,0.0
0.03,5.0,500000,0.05,-0.04761904761904856,0.1414,0.0,0.0
0.03,5.0,500000,0.1,-0.0909090909090906,0.1414,0.0,0.0
0.03,5.0,500000,0.2,-0.16666666666666685,0.1414,0.0,0.0
0.03,10.0,10000000,0.01,-0.009900990099012796,0.068,0.0,0.0
0.03,10.0,10000000,0.05,-0.04761904761904856,0.068,0.0,0.0
0.03,10.0,10000000,0.1,-0.09090909090909172,0.068,0.0,0.0
0.03,10.0,10000000,0.2,-0.16666666666666652,0.068,0.0,0.0
0.03,10.0,2000000,0.01,-0.009900990099005913,0.068,0.0,0.0
0.03,10.0,2000000,0.05,-0.04761904761904856,0.068,0.0,0.0
0.03,10.0,2000000,0.1,-0.0909090909090906,0.068,0.0,0.0
0.03,10.0,2000000,0.2,-0.16666666666666685,0.068,0.0,0.0
0.03,10.0,500000,0.01,-0.009900990099005913,0.068,0.0,0.0
0.03,10.0,500000,0.05,-0.04761904761904856,0.068,0.0,0.0
0.03,10.0,500000,0.1,-0.0909090909090906,0.068,0.0,0.0
0.03,10.0,500000,0.2,-0.16666666666666685,0.068,0.0,0.0
0.05,1.0,10000000,0.01,-0.009900990099012796,0.3854,0.062,0.0008
0.05,1.0,10000000,0.05,-0.04761904761904856,0.3854,0.062,0.0008
0.05,1.0,10000000,0.1,-0.09090909090909172,0.3854,0.062,0.0008
0.05,1.0,10000000,0.2,-0.16666666666666652,0.3854,0.062,0.0008
0.05,1.0,2000000,0.01,-0.009900990099005913,0.3854,0.062,0.0008
0.05,1.0,2000000,0.05,-0.04761904761904856,0.3854,0.062,0.0008
0.05,1.0,2000000,0.1,-0.0909090909090906,0.3854,0.062,0.0008
0.05,1.0,2000000,0.2,-0.16666666666666685,0.3854,0.062,0.0008
0.05,1.0,500000,0.01,-0.009900990099005913,0.3854,0.062,0.0008
0.05,1.0,500000,0.05,-0.04761904761904856,0.3854,0.062,0.0008
0.05,1.0,500000,0.1,-0.0909090909090906,0.3854,0.062,0.0008
0.05,1.0,500000,0.2,-0.16666666666666685,0.3854,0.062,0.0008
0.05,5.0,10000000,0.01,-0.009900990099012796,0.2586,0.0008,0.0
0.05,5.0,10000000,0.05,-0.04761904761904856,0.2586,0.0008,0.0
0.05,5.0,10000000,0.1,-0.09090909090909172,0.2586,0.0008,0.0
0.05,5.0,10000000,0.2,-0.16666666666666652,0.2586,0.0008,0.0
0.05,5.0,2000000,0.01,-0.009900990099005913,0.2586,0.0008,0.0
0.05,5.0,2000000,0.05,-0.04761904761904856,0.2586,0.0008,0.0
0.05,5.0,2000000,0.1,-0.0909090909090906,0.2586,0.0008,0.0
0.05,5.0,2000000,0.2,-0.16666666666666685,0.2586,0.0008,0.0
0.05,5.0,500000,0.01,-0.009900990099005913,0.2586,0.0008,0.0
0.05,5.0,500000,0.05,-0.04761904761904856,0.2586,0.0008,0.0
0.05,5.0,500000,0.1,-0.0909090909090906,0.2586,0.0008,0.0
0.05,5.0,500000,0.2,-0.16666666666666685,0.2586,0.0008,0.0
0.05,10.0,10000000,0.01,-0.009900990099012796,0.1762,0.0,0.0
0.05,10.0,10000000,0.05,-0.04761904761904856,0.1762,0.0,0.0
0.05,10.0,10000000,0.1,-0.09090909090909172,0.1762,0.0,0.0
0.05,10.0,10000000,0.2,-0.16666666666666652,0.1762,0.0,0.0
0.05,10.0,2000000,0.01,-0.009900990099005913,0.1762,0.0,0.0
0.05,10.0,2000000,0.05,-0.04761904761904856,0.1762,0.0,0.0
0.05,10.0,2000000,0.1,-0.0909090909090906,0.1762,0.0,0.0
0.05,10.0,2000000,0.2,-0.16666666666666685,0.1762,0.0,0.0
0.05,10.0,500000,0.01,-0.009900990099005913,0.1762,0.0,0.0
0.05,10.0,500000,0.05,-0.04761904761904856,0.1762,0.0,0.0
0.05,10.0,500000,0.1,-0.0909090909090906,0.1762,0.0,0.0
0.05,10.0,500000,0.2,-0.16666666666666685,0.1762,0.0,0.0
